Elliptic curve parameters:
name = secp256k1
mode = test
p = 1241690119
a = 1
b = 35
g = (311072572, 523565415)
n = 1241630743

Using legacy P2PKH preimage for signing.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered                 hypothesis  
D77          186133335   1224589981  203174097   242890264   1188946542  1024875818  840788011   1104416505  15862548    -           -           77.20008040322399654     -                           -           
D39          600103256   1065666314  776067685   671738155   472282136   160772849   295788588   232031277   27024064    -           -           39.43397684374933392     -                           HYP-005     
D1393        315871044   992029549   565472238   326376347   766057342   49697616    295788588   5707041     711954      -           -           1393.389950755245423     -                           -           
D7           1012221751  587735714   424486037   1145465567  589886772   1211423208  295788588   439109409   79515039    -           -           7.391503813511303188     -                           HYP-005     
D19          734773329   963751076   1012652996  820558070   361604273   1196867660  295788588   444831509   48495401    -           -           19.87304066214443716     -                           -           
D3           808558658   546284697   262273961   1143441814  413770031   615457123   1224036396  173420481   138792346   -           -           3.935985756736181979     -                           -           
D2           735680824   97795628    637885196   907686194   16160479    324570153   419315759   858655182   47659344    -           -           2.051971760249154919     -                           -           
D15          452333903   1067354950  626609696   644210311   605030165   293022987   758188080   331471557   68581087    -           -           15.56340088339515528     -                           -           
D4           576793862   948131366   870293239   918859383   555583914   453728242   758188080   556732582   234728341   -           -           4.039270937462127762     -                           -           
D0           904561806   23826188    880735618   1198006346  483651937   3109037     1107071025  859339331   24228186    -           -           0.983407837466659699     -                           -           
D28          567305984   650333322   1158603405  590988687   768041520   1097172086  1107071025  1220865117  22603815    -           -           28.77095401816020879     -                           -           
