Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        
C            43348       22912       20436       43328       27899       93056       90235       81302       8           2864        -           -                        
C            49653       31235       18418       49537       49501       86329       90235       51613       5           6247        -           -                        
C            32331       7376        24955       32321       30088       72416       15725       50801       1           7376        -           -                        
C            9136        3596        5540        10940       50657       96352       92251       83272       116         31          -           -                        
C            94058       27864       66194       648         55409       84705       47626       54303       648         43          -           -                        
C            84583       319         84264       79884       85340       10638       74054       54637       1           319         -           -                        
C            1           26826       72842       31228       90050       28020       49915       31513       1           26826       -           -                        
C            45936       92016       53587       91440       41724       59682       69828       2926        432         213         -           -                        
C            38836       89670       48833       2989        46872       46425       51062       97079       2989        30          -           -                        
C            39712       54478       84901       39723       26032       22020       12236       74760       2           27239       -           -                        
C            90329       79004       11325       90315       57148       27346       64699       53152       1           79004       -           -                        
C            90289       73299       16990       90322       4237        86586       23714       63600       1           73299       -           -                        
C            15665       34385       80947       14105       36398       73821       70369       75700       65          529         -           -                        
C            33997       81570       52094       5438        53946       49647       46582       47036       5438        15          -           -                        
C            56953       806         56147       37973       60540       76654       23300       95357       13          62          -           -                        
C            86731       83257       3474        86761       34629       32914       52924       3531        1           83257       -           -                        
C            18454       62568       55553       18699       80699       60662       28668       26143       79          792         -           -                        
