Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        x_recovered 
C            13877       6707        7170        14046       4693        39101       43006       2826        19          353         -           -                        -           
C            44631       12257       32374       89245       33696       75868       93122       81036       17          721         -           -                        -           
C            62863       69543       92987       62868       68853       43314       90265       11244       3           23181       -           -                        -           
C            32922       85840       46749       37592       71221       52015       32506       34803       232         370         -           -                        -           
C            20583       1224        19359       21040       97949       35724       32506       20420       18          68          -           -                        -           
C            41382       45012       96037       82761       30914       76589       59909       48310       3           15004       -           -                        -           
C            2900        29022       73545       2946        77252       49013       86341       49870       2           14511       -           -                        -           
C            74694       88614       85747       74759       38636       30986       79541       87416       9           9846        -           -                        -           
C            73665       7350        66315       73792       58255       84397       79541       34671       5           1470        -           -                        -           
C            2493        9414        92746       2503        44738       33437       23803       86697       3           3138        -           -                        -           
C            28861       58980       69548       42800       77736       60609       65860       61958       983         60          -           -                        -           
C            28827       99541       28953       43225       54365       36575       63261       84227       31          3211        -           -                        -           
C            19793       18980       813         39326       19880       44431       96142       98565       260         73          -           -                        -           
C            1123        92399       8391        1684        69528       22563       35457       39455       1           92399       -           -                        -           
C            18315       49590       68392       20550       26804       71609       21112       62805       435         114         -           -                        -           
C            83091       30734       52357       83122       18696       86632       52072       2166        11          2794        -           -                        -           
C            67517       54587       12930       78716       87810       48276       7856        49396       323         169         -           -                        -           
C            52961       68375       84253       55609       43418       31163       65873       81045       1           68375       -           -                        -           
C            58050       50380       7670        58090       2370        70254       71067       79082       10          5038        -           -                        -           
C            45843       60903       84607       57153       45408       65895       77296       8015        603         101         -           -                        -           
C            2610        46243       56034       4867        58434       3396        63701       71605       353         131         -           -                        -           
C            60019       35259       24760       60022       8286        4145        63701       99563       1           35259       -           -                        -           
C            27334       44544       82457       31889       48876       30101       92703       53248       4           11136       -           -                        -           
C            16142       13520       2622        18832       95534       31586       43659       8027        2           6760        -           -                        -           
C            32963       51825       80805       34611       8182        8860        43659       77540       3           17275       -           -                        -           
C            98533       80694       17839       99604       92097       74928       43659       7257        1           80694       -           -                        -           
C            54362       85172       68857       56627       92275       8635        59668       63359       2           42586       -           -                        -           
C            40996       65966       74697       43729       20502       41970       406         40712       1           65966       -           -                        -           
C            7411        36486       70592       7874        547         88749       12499       47076       3           12162       -           -                        -           
C            33252       63624       69295       36022       59820       45109       10903       69658       12          5302        -           -                        -           
C            6973        7699        98941       7056        91490       8129        7974        43208       1           7699        -           -                        -           
C            90691       42112       48579       95464       38317       16556       77594       5825        4           10528       -           -                        -           
C            36329       16478       19851       40870       20717       63953       77594       85697       1           16478       -           -                        -           
C            27816       12600       15216       37058       54402       64093       70263       330         90          140         -           -                        -           
C            66870       92690       73847       67085       3378        91219       26284       34666       5           18538       -           -                        -           
C            86945       45753       41192       91521       38651       14992       40356       20063       1           45753       -           -                        -           
C            11721       48480       62908       23430       84217       65411       40356       42186       12          4040        -           -                        -           
C            12272       3204        9068        12885       39679       58840       6685        56981       12          267         -           -                        -           
C            49243       7032        42211       94970       98332       1422        13993       36278       3516        2           -           -                        -           
C            64983       81832       82818       74156       95685       70364       13993       31967       772         106         -           -                        -           
C            15873       93816       21724       16865       29109       19582       13919       46370       1           93816       -           -                        -           
C            36180       87758       48089       64382       66302       13055       74607       88340       7978        11          -           -                        -           
C            91810       51102       40708       92188       34342       81798       57664       30103       334         153         -           -                        -           
C            37561       88690       48538       75073       32161       79594       60538       25021       49          1810        -           -                        -           
C            34500       67422       66745       34626       93869       75217       30570       40419       102         661         -           -                        -           
C            13603       879         12724       13609       33864       52780       30570       24025       1           879         -           -                        -           
C            79975       73670       6305        93304       49941       94045       19588       19228       1           73670       -           -                        -           
C            25355       83504       41518       25364       97847       94834       96783       35659       2           41752       -           -                        -           
C            21679       9605        12074       32462       21593       76073       88243       97715       113         85          -           -                        -           
C            89101       40735       48366       89115       26469       98055       63810       97767       5           8147        -           -                        -           
C            28227       91125       36769       31671       93554       99189       63810       409         675         135         -           -                        -           
C            910         75390       25187       966         79293       8277        71733       86964       14          5385        -           -                        -           
C            90065       36010       54055       90100       94206       73041       21202       9137        10          3601        -           -                        -           
C            1918        56160       45425       2384        54397       73252       24241       8519        54          1040        -           -                        -           
C            40618       21640       18978       41746       58479       97493       42554       21468       10          2164        -           -                        -           
C            37362       96980       40049       38272       94348       58249       42554       3111        52          1865        -           -                        -           
C            43779       88452       54994       46881       28358       687         95531       33919       351         252         -           -                        -           
C            93996       95312       98351       96103       96989       13325       2521        42094       1288        74          -           -                        -           
C            83824       58729       25095       90959       9648        71361       38573       33528       5339        11          -           -                        -           
C            11701       4173        7528        12042       98640       61710       38573       76954       107         39          -           -                        -           
C            53432       66364       86735       66743       37782       36234       32441       35192       188         353         -           -                        -           
C            11611       8334        3277        22759       24853       80940       46032       71395       463         18          -           -                        -           
C            47936       87176       60427       59279       991         85345       73439       24527       2564        34          -           -                        -           
C            45249       96036       48880       46084       3053        58516       73439       82331       159         604         -           -                        -           
C            13695       69819       43543       18259       48978       67200       41628       88576       3           23273       -           -                        -           
C            55882       97008       58541       56189       70925       27063       93016       53648       8           12126       -           -                        -           
C            21177       59160       61684       21288       69857       10745       10424       79638       87          680         -           -                        -           
C            22741       40792       81616       23170       17313       4814        60219       8200        4           10198       -           -                        -           
C            63042       52947       10095       68773       59438       4433        60219       82130       1           52947       -           -                        -           
C            61661       8103        53558       92455       40165       19829       10271       52969       73          111         -           -                        -           
C            24065       32415       91317       26803       98484       12362       20237       46394       2161        15          -           -                        -           
C            38985       26100       12885       39365       46987       71467       86700       92515       225         116         -           -                        -           
C            42054       1020        41034       42061       10738       59082       86700       54855       5           204         -           -                        -           
C            22731       11426       11305       45461       67463       89957       95181       93186       1           11426       -           -                        -           
C            39117       60958       77826       39244       85162       56836       95181       85673       1           60958       -           -                        -           
C            78154       43348       34806       78162       18475       95431       93061       65850       2           21674       -           -                        -           
C            47539       71584       75622       47596       5343        4691        37709       25625       1           71584       -           -                        -           
C            86969       88168       98468       87092       1741        508         37709       59702       8           11021       -           -                        -           
C            18516       81260       36923       19939       12974       86755       86002       97046       17          4780        -           -                        -           
C            38105       45588       92184       38606       97845       16280       86002       61460       29          1572        -           -                        -           
C            81926       28298       53628       98311       578         14827       86002       57642       1           28298       -           -                        -           
C            4540        54060       50147       5442        5679        43806       34055       32758       30          1802        -           -                        -           
C            28384       64320       63731       28637       50829       51339       93745       19137       48          1340        -           -                        -           
C            44744       46920       97491       44948       52256       89544       97727       5265        68          690         -           -                        -           
C            37453       98434       38686       37459       1342        31146       13870       74935       1           98434       -           -                        -           
C            1922        22962       78627       2030        2373        14407       41974       32266       86          267         -           -                        -           
C            32967       87748       44886       33244       23812       90728       9766        35263       4           21937       -           -                        -           
C            79465       47404       32061       79708       15695       61704       23624       84512       4           11851       -           -                        -           
C            30565       75020       55212       30606       36859       94249       97540       95394       20          3751        -           -                        -           
C            33282       96824       36125       36223       34905       23418       58355       46811       931         104         -           -                        -           
C            2090        89910       11847       2177        83954       74073       44750       5519        2           44955       -           -                        -           
C            96052       9072        86980       96058       59565       90275       85599       56914       4           2268        -           -                        -           
C            49803       10992       38811       62253       62904       51655       76258       35859       3           3664        -           -                        -           
C            80324       2292        78032       81208       30106       70292       47484       81042       764         3           -           -                        -           
C            52872       87696       64843       53479       69181       39272       19487       83442       63          1392        -           -                        -           
C            27134       90228       36573       53392       8067        17600       14518       57758       876         103         -           -                        -           
C            41921       42485       99103       43231       47153       23167       14518       34638       1           42485       -           -                        -           
C            54784       68692       85759       57523       56186       70784       35143       46122       4           17173       -           -                        -           
C            83397       31482       51915       83462       90227       81773       35143       63830       2           15741       -           -                        -           
C            27108       31360       95415       28142       6771        84451       68408       37216       224         140         -           -                        -           
C            50991       58824       91834       51046       50080       35788       13024       83126       6           9804        -           -                        -           
C            9609        89790       19486       9795        46278       94156       39459       37243       123         730         -           -                        -           
C            51740       56784       94623       53688       93922       40482       9290        54846       1092        52          -           -                        -           
C            56593       53861       2732        56596       59188       24458       77904       97137       1           53861       -           -                        -           
C            60011       35926       24085       60078       28732       51015       81709       6488        46          781         -           -                        -           
C            16571       31800       84438       19758       79884       91051       81709       94577       636         50          -           -                        -           
C            48150       14250       33900       48183       40080       12661       73424       45880       3           4750        -           -                        -           
C            66854       9538        57316       89138       7562        42135       73424       63107       2           4769        -           -                        -           
C            66931       85481       81117       66971       66931       8745        75058       68351       11          7771        -           -                        -           
C            43807       19292       24515       58408       19029       53626       10718       6150        4           4823        -           -                        -           
E1           45534       34151       11383       -           45090       71343       8640        15268       -           -           -           -                        8640, 20743 
C            14281       1485        12796       28557       44687       21084       77097       60683       5           297         -           -                        -           
C            27164       20160       7004        33885       79799       5090        46571       94489       280         72          -           -                        -           
C            58424       46788       11636       71359       74707       34645       87227       87063       6684        7           -           -                        -           
C            87144       51744       35400       88302       23846       20442       26453       74859       294         176         -           -                        -           
C            28876       37568       90975       36079       87787       89907       72122       48186       64          587         -           -                        -           
C            25342       42310       82699       50683       96186       95644       19622       21433       1           42310       -           -                        -           
C            60708       37740       22968       60877       57481       18599       10926       17208       37          1020        -           -                        -           
C            32878       86812       45733       34307       12825       2948        10926       90457       11          7892        -           -                        -           
C            18194       48576       69285       18279       10170       80000       10926       62157       4           12144       -           -                        -           
C            39949       47363       92253       39952       63901       20542       90294       74650       1           47363       -           -                        -           
C            49729       81442       67954       49825       59065       60638       90294       96140       1           81442       -           -                        -           
C            26998       56890       69775       40496       2768        33429       53770       54823       2           28445       -           -                        -           
C            3205        16783       86089       4273        84074       78152       50903       1028        1           16783       -           -                        -           
C            27160       83760       43067       48736       27600       3584        17621       89270       5584        15          -           -                        -           
C            73873       72582       1291        73882       16905       35019       52343       38350       1           72582       -           -                        -           
C            29729       45875       83521       29741       62547       76637       631         44422       5           9175        -           -                        -           
C            72185       382         71803       72187       46089       38522       69944       93372       1           382         -           -                        -           
C            11173       8406        2767        11306       44788       9440        17985       7001        1           8406        -           -                        -           
C            57016       40871       16145       57025       737         76349       18175       32241       1           40871       -           -                        -           
C            5284        38881       66070       5287        6189        77525       16735       73279       1           38881       -           -                        -           
C            37037       56507       80197       38720       99420       70054       16735       10666       11          5137        -           -                        -           
C            75055       48749       26306       78549       65292       58412       10113       52904       1681        29          -           -                        -           
C            47852       37710       10142       47858       78350       87934       34891       15100       2           18855       -           -                        -           
C            59950       65670       93947       67443       11355       20071       67114       9617        6           10945       -           -                        -           
C            27381       16735       10646       27497       68647       98352       41540       86445       5           3347        -           -                        -           
C            45291       7668        37623       60387       53967       64032       61645       35121       3           2556        -           -                        -           
C            32437       65625       66479       32555       81923       24943       81526       9180        105         625         -           -                        -           
C            71853       41730       30123       97347       98114       41139       40728       42330       20865       2           -           -                        -           
C            95598       29880       65718       99138       27721       40286       78121       77873       18          1660        -           -                        -           
C            86472       74520       11952       86545       98266       32876       73258       77845       40          1863        -           -                        -           
C            65261       16170       49091       78267       24008       71038       69573       31925       231         70          -           -                        -           
C            64404       45144       19260       68614       24677       61551       54669       83162       1254        36          -           -                        -           
C            55329       48588       6741        55441       59902       75148       4402        6939        1           48588       -           -                        -           
C            1795        63372       38090       2094        45716       59836       26702       51688       1           63372       -           -                        -           
C            83531       52065       31466       91107       33634       11681       48758       21109       195         267         -           -                        -           
C            41104       54698       86073       42278       95935       59650       48758       55801       14          3907        -           -                        -           
C            14408       8078        6330        27662       49026       10889       83310       8815        1154        7           -           -                        -           
C            33349       25345       8004        33391       30590       28826       35844       17546       1           25345       -           -                        -           
C            36617       61355       74929       36684       18096       36551       43118       2950        35          1753        -           -                        -           
C            49981       45898       4083        50100       84568       30176       24650       60382       1           45898       -           -                        -           
C            60742       95802       64607       61956       99428       80225       16051       70492       42          2281        -           -                        -           
C            38529       75525       62671       76963       24941       49411       14662       89424       95          795         -           -                        -           
C            44673       60567       83773       44708       62866       60924       29080       35845       13          4659        -           -                        -           
C            10388       79350       30705       10391       33667       27443       10983       24236       2           39675       -           -                        -           
C            83991       78886       5105        84028       18450       13596       12221       40206       1           78886       -           -                        -           
C            26633       99132       27168       35510       49120       39831       12221       99109       2           49566       -           -                        -           
C            82582       11544       71038       82697       61114       55184       12982       34101       12          962         -           -                        -           
C            31816       10436       21380       63631       9080        33233       5268        29550       1           10436       -           -                        -           
C            56302       3552        52750       56368       10419       30071       62129       65718       4           888         -           -                        -           
C            33865       33932       99600       33882       22502       10676       62129       39537       1           33932       -           -                        -           
C            41009       13216       27793       54600       99143       90433       47273       28125       236         56          -           -                        -           
C            46703       3400        43303       46846       40123       29904       93996       90655       85          40          -           -                        -           
C            43082       46087       96662       57437       19369       80317       26816       42547       17          2711        -           -                        -           
C            72456       26550       45906       75333       89499       49385       48945       84236       531         50          -           -                        -           
C            59732       39352       20380       67198       21543       76501       48945       29449       4           9838        -           -                        -           
C            74805       3670        71135       79205       87899       14010       25083       71972       5           734         -           -                        -           
C            79279       44184       35095       79460       76789       50453       29656       2246        1           44184       -           -                        -           
C            72100       73216       98551       84102       5862        51021       93910       3923        88          832         -           -                        -           
C            71625       76500       94792       72950       31560       43804       41644       49078       75          1020        -           -                        -           
C            86140       87438       98369       88466       12292       2164        41644       72933       78          1121        -           -                        -           
C            37332       90350       46649       37889       44150       83150       65003       25850       13          6950        -           -                        -           
C            45997       97556       48108       47765       1592        5101        27204       11831       29          3364        -           -                        -           
C            50852       96565       53954       67751       62440       6429        37027       36818       155         623         -           -                        -           
C            55408       79835       75240       55425       35580       38112       30948       29569       5           15967       -           -                        -           
C            15191       41272       73586       17342       24045       62690       71295       42712       134         308         -           -                        -           
C            91496       95648       95515       91512       84831       86225       99309       39683       8           11956       -           -                        -           
C            40774       51625       88816       51907       14174       6072        16981       18729       7375        7           -           -                        -           
C            77299       56688       20611       77360       8394        93027       4710        12759       12          4724        -           -                        -           
C            89081       62638       26443       92954       22152       36331       79158       57620       2           31319       -           -                        -           
C            36750       11398       25352       45917       29071       77048       79158       90397       82          139         -           -                        -           
C            57420       86860       70227       68818       95386       59095       79158       72850       430         202         -           -                        -           
C            74045       36000       38045       74048       58071       89918       69054       31311       2           18000       -           -                        -           
C            95403       37065       58338       95417       63804       71009       11554       84367       7           5295        -           -                        -           
C            46046       15152       30894       92084       98279       75761       11554       77827       8           1894        -           -                        -           
C            64012       29628       34384       67021       53774       19872       49537       83702       823         36          -           -                        -           
C            86800       52806       33994       86803       70211       35677       49537       26803       1           52806       -           -                        -           
C            40603       27825       12778       40809       52472       83874       70895       98431       21          1325        -           -                        -           
C            35147       23122       12025       37350       18751       13354       70895       88150       2102        11          -           -                        -           
C            4180        70794       33053       8222        40580       30588       39129       76233       138         513         -           -                        -           
C            48891       25569       23322       49395       57286       29997       28717       61696       3           8523        -           -                        -           
C            79983       51553       28430       89773       93609       47647       41864       42948       1663        31          -           -                        -           
C            95291       66479       28812       95865       58363       16452       85976       97998       7           9497        -           -                        -           
C            58233       5586        52647       64659       64977       43689       85976       41194       399         14          -           -                        -           
C            10992       68523       42136       21231       52357       54611       10432       14680       753         91          -           -                        -           
C            25749       28755       96661       25944       48186       77540       95993       41271       9           3195        -           -                        -           
C            34548       5503        29045       34741       30768       69792       92384       32999       1           5503        -           -                        -           
C            46597       51075       95189       47109       19723       23177       85145       9705        5           10215       -           -                        -           
C            83160       44880       38280       93549       36172       19866       87014       62041       48          935         -           -                        -           
C            34753       64588       69832       36201       69295       31984       9313        8438        1           64588       -           -                        -           
C            82312       1050        81262       84226       6252        84791       84968       72407       10          105         -           -                        -           
C            8521        77915       30273       9941        76439       69249       41106       96836       1           77915       -           -                        -           
C            26119       60120       65666       29382       51607       90720       41106       61964       15          4008        -           -                        -           
C            84741       6640        78101       84997       91106       79726       67588       70375       5           1328        -           -                        -           
C            251         40848       59070       358         83825       53149       37903       80413       37          1104        -           -                        -           
C            43892       44890       98669       87114       47646       95276       11466       84611       670         67          -           -                        -           
C            58771       59556       98882       58794       95185       93383       11466       51488       6           9926        -           -                        -           
C            28920       14860       14060       28934       75594       75102       1916        53321       10          1486        -           -                        -           
C            74244       61160       13084       83522       24142       53          6181        10695       20          3058        -           -                        -           
C            44708       90782       53593       52153       93654       86481       74954       63551       38          2389        -           -                        -           
C            48053       36238       11815       48072       6702        6610        74954       56873       2           18119       -           -                        -           
C            57724       50394       7330        78187       79195       84829       16656       51905       16798       3           -           -                        -           
C            80239       63424       16815       86335       36136       25297       16656       29679       991         64          -           -                        -           
C            39826       15294       24532       40357       87301       84729       4383        56675       1           15294       -           -                        -           
C            36681       23583       13098       48907       75541       12792       4383        51171       3           7861        -           -                        -           
C            8717        37955       70429       8915        61012       5814        69340       58180       5           7591        -           -                        -           
C            12200       38208       73659       13936       8255        20249       69340       26337       48          796         -           -                        -           
C            76168       17723       58445       76171       21787       51692       43393       28217       1           17723       -           -                        -           
C            35488       46752       88403       36594       66300       40165       68366       29531       96          487         -           -                        -           
C            34865       24633       10232       43288       6880        79624       42731       47244       1173        21          -           -                        -           
C            62241       57834       4407        62451       95663       18031       40796       51213       81          714         -           -                        -           
C            67704       49023       18681       69439       73790       82910       74657       36484       39          1257        -           -                        -           
C            35770       25350       10420       35960       78603       43340       62161       2393        50          507         -           -                        -           
C            72907       85068       87506       72912       55681       66085       89610       9406        2           42534       -           -                        -           
C            66803       54162       12641       83253       85689       43011       89610       25166       1003        54          -           -                        -           
C            3477        83863       19281       5215        15289       28038       89610       52176       1           83863       -           -                        -           
C            58627       38040       20587       73046       22719       22052       94138       88403       951         40          -           -                        -           
C            45024       61056       83635       82416       75315       17088       62483       39419       7632        8           -           -                        -           
C            71093       62650       8443        71132       53068       70077       62483       66084       35          1790        -           -                        -           
C            47163       46831       332         47165       26550       67216       2001        78673       1           46831       -           -                        -           
C            87655       54335       33320       87665       33379       5861        2001        26854       5           10867       -           -                        -           
C            45878       6328        39550       46969       89235       75233       13904       7719        56          113         -           -                        -           
C            85133       13732       71401       89218       52777       44133       13904       71771       3433        4           -           -                        -           
C            29987       54737       74917       30016       12518       28920       13904       85332       1           54737       -           -                        -           
C            5223        10680       94210       5236        29300       61542       3202        16192       10          1068        -           -                        -           
C            46713       94316       52064       48134       24332       89912       3202        67164       1241        76          -           -                        -           
C            52053       49071       2982        52143       73623       26147       81902       67860       33          1487        -           -                        -           
E2           5627        78971       26323       -           10105       51713       88463       7129        -           -           -           -                        88463, 59726
C            35884       99293       36258       36853       58617       14710       32496       57853       31          3203        -           -                        -           
C            70785       2856        67929       74498       94078       23829       32496       85115       238         12          -           -                        -           
C            15667       17171       98163       15743       26897       31842       48933       4551        11          1561        -           -                        -           
C            49216       80432       68451       49257       28976       54035       96802       42159       16          5027        -           -                        -           
C            65505       91586       73586       65536       82024       30524       96802       22546       2           45793       -           -                        -           
C            16173       4242        11931       17642       84932       89831       24886       84184       14          303         -           -                        -           
C            66737       68895       97509       67194       95122       51891       82524       78929       15          4593        -           -                        -           
C            29092       97680       31079       57944       75775       5187        72690       24775       240         407         -           -                        -           
