Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        x_recovered 
D2           32596       28474       4122        51042       18457       95366       87312       42699       14150       -           -           2.012296819787985865     -           
D7           52837       97568       54936       92551       38036       31339       87312       13796       13123       -           -           7.434885315857654499     -           
D10          49666       50138       99195       54665       66957       60283       87312       31029       4675        -           -           10.72470588235294117     -           
D0           42859       3792        39067       61209       96109       25950       87312       76640       6159        -           -           0.615684364344861178     -           
D30          21193       82619       38241       39686       8516        52647       87312       2011        2700        -           -           30.59962962962962963     -           
D5           75162       69047       6115        96282       10359       34213       87312       40368       11802       -           -           5.850449076427724114     -           
D33          47164       56964       89867       92603       19165       21800       87312       60110       1725        -           -           33.02260869565217391     -           
D5           57139       20746       36393       66024       42709       40294       87312       1424        3829        -           -           5.418124836772003134     -           
D46          30844       58008       72503       45641       21217       72635       87312       86357       1250        -           -           46.4064                  -           
D3           59756       60687       98736       79954       4265        44606       87312       58646       19360       -           -           3.134659090909090909     -           
D0           24416       1728        22688       28630       79760       8635        87312       36308       3346        -           -           0.516437537358039450     -           
D521         49044       43840       5204        53124       94818       98690       87312       13865       84          -           -           521.9047619047619047     -           
D66          73380       54849       18531       87890       32696       50708       87312       47741       830         -           -           66.08313253012048192     -           
D26          43970       30897       13073       45831       3076        71525       87312       85712       1167        -           -           26.47557840616966581     -           
D13          27798       79708       47757       38633       10103       39770       87312       76048       6128        -           -           13.00718015665796344     -           
D201         67730       22192       45538       68374       48831       34430       87312       63208       110         -           -           201.7454545454545454     -           
D6           53075       38389       14686       68688       32982       39111       87312       86375       6236        -           -           6.156029506093649775     -           
D2           55821       4108        51713       57906       30738       41713       87312       41173       1611        -           -           2.549968963376784605     -           
D185         22503       94599       27571       33499       51239       37820       87312       20490       511         -           -           185.1252446183953033     -           
D3           36744       27722       9022        64363       34999       82930       87312       74850       9125        -           -           3.038027397260273972     -           
D1           30356       10133       20223       52920       70463       1336        87312       5484        7792        -           -           1.300436344969199178     -           
D14          81269       64692       16577       87674       13950       66651       87312       28040       4409        -           -           14.67271490133817192     -           
D3           32853       13764       19089       61989       23856       44760       87312       21809       3717        -           -           3.702986279257465698     -           
D1           29918       13689       16229       49032       53947       92289       87312       98156       10804       -           -           1.267030729359496482     -           
D2           36966       40117       96516       59175       35870       11880       87312       35036       14757       -           -           2.718506471505048451     -           
D0           70814       1379        69435       81719       41587       18252       87312       35448       5384        -           -           0.256129271916790490     -           
D25          39062       78750       59979       57052       98629       99420       87312       9718        3082        -           -           25.55158987670343932     -           
D7           53636       70265       83038       75770       56662       75690       87312       81148       9368        -           -           7.500533731853116994     -           
D40          13273       73038       39902       19014       67758       44384       87312       86518       1791        -           -           40.78056951423785594     -           
D85          58032       91364       66335       59531       45188       3731        87312       65835       1070        -           -           85.38691588785046729     -           
D23          33126       38877       93916       64584       47039       11051       87312       16731       1668        -           -           23.30755395683453237     -           
D10          59142       32486       26656       77824       6409        75746       87312       90217       3096        -           -           10.49289405684754522     -           
D1           54951       26764       28187       93373       91028       55943       87312       10980       16529       -           -           1.619214713533789097     -           
D4           35065       56446       78286       56710       80943       89050       87312       40164       13420       -           -           4.206110283159463487     -           
D38          82270       89542       92395       86711       31642       44954       87312       81426       2332        -           -           38.39708404802744425     -           
D3           51078       72946       77799       79293       70038       28711       87312       95120       22863       -           -           3.190569916458907405     -           
D17          44593       4837        39756       47200       85663       67153       87312       79134       274         -           -           17.65328467153284671     -           
D28          71895       20220       51675       72844       25852       38895       87312       86421       720         -           -           28.08333333333333333     -           
D3           60567       30131       30436       86206       10053       26291       87312       64792       9289        -           -           3.243729141995909139     -           
